Date,Channel,Duration,hour,min,sec
2021-09-18,Pon,1.267,1,16,
2021-09-18,Akina,1.855,,,
2021-09-19,Uninal,2.950,2,57,
2021-09-20,FFF,1.706,1,42,21
2021-09-21,Daraland,0.800,,48,
2021-09-22,Akina,2.801,,,
2021-09-25,Akina,2.191,,,
2021-09-27,FFF,2.081,2,4,51
2021-09-27,Uninal,1.650,1,39,
2021-09-28,Daraland,0.633,,38,
2021-09-29,Akina,2.793,,,
2021-09-30,Akina,2.408,,,
2021-10-04,FFF,2.072,2,4,18
2021-10-05,Daraland,0.733,,44,
2021-10-05,FFF,0.018,,1,4
2021-10-06,Akina,2.662,,,
2021-10-07,Akina,2.518,,,
2021-10-12,Daraland,0.750,,45,
2021-10-12,FFF,1.957,1,57,26
2021-10-13,Akina,2.106,,,
2021-10-14,Pon,1.283,1,17,
2021-10-15,Akina,3.417,,,
2021-10-18,FFF,1.618,1,37,4
2021-10-18,Snack,1.750,1,45,
2021-10-18,Uninal,1.783,1,47,
2021-10-19,Daraland,0.683,,41,
2021-10-20,Akina,1.248,,,
2021-10-20,Akina,2.052,,,
2021-10-25,FFF,2.106,2,6,22
2021-10-25,Meat,1.850,1,51,
2021-10-26,Daraland,0.950,,57,
2021-10-26,Akina,2.659,,,
2021-10-26,Akina,2.531,,,
2021-10-27,Akina,2.372,,,
2021-10-28,FFF,6.284,6,17,4
2021-10-28,FFF,0.651,,39,3
2021-10-28,Uninal,1.667,1,40,
2021-11-01,FFF,2.268,2,15,65
2021-11-02,Daraland,0.750,,45,
2021-11-03,Akina,2.626,,,
2021-11-07,Akina,2.519,,,
2021-11-08,FFF,3.494,3,29,38
2021-11-09,Daraland,0.650,,39,
2021-11-10,Akina,2.344,,,
2021-11-11,Uninal,1.583,1,35,
2021-11-13,FFF,6.468,6,28,6
2021-11-15,FFF,1.209,1,12,33
2021-11-15,Snack,1.633,1,38,
2021-11-16,Daraland,0.883,,53,
2021-11-17,Akina,2.531,,,
2021-11-22,FFF,1.355,1,21,19
2021-11-23,Daraland,0.717,,43,
2021-11-24,Akina,2.511,,,
2021-11-25,Uninal,1.933,1,56,
2021-11-29,Meat,2.433,2,26,
2021-11-30,Daraland,0.917,,55,
2021-11-30,Pon,1.417,1,25,
2021-12-01,Akina,2.128,,,
2021-12-06,FFF,3.599,3,35,58
2021-12-07,Daraland,0.717,,43,
2021-12-07,Snack,1.650,1,39,
2021-12-07,Uninal,1.500,1,30,
2021-12-07,Akina,2.646,,,
2021-12-08,Akina,2.191,,,
2021-12-09,Akina,3.263,,,
2021-12-13,FFF,3.863,3,51,45
2021-12-14,Daraland,0.683,,41,
2021-12-14,Pon,1.400,1,24,
2021-12-14,Akina,2.672,,,
2021-12-20,FFF,4.645,3,98,41
2021-12-20,Meat,1.900,1,54,
2021-12-21,Daraland,0.833,,50,
2021-12-21,Uninal,1.750,1,45,
2021-12-22,Akina,2.866,,,
2021-12-24,Akina,2.907,,,
2021-12-27,FFF,2.752,2,45,8
2021-12-28,Daraland,0.717,,43,
2022-01-04,Daraland,0.717,,43,
2022-01-05,Akina,2.919,,,
2022-01-06,Akina,1.516,,,
2022-01-07,Snack,2.300,2,18,
2022-01-07,Uninal,1.533,1,32,
2022-01-10,FFF,4.997,4,58,110
2022-01-11,Daraland,1.033,,62,
2022-01-11,Meat,1.917,1,55,
2022-01-14,Akina,3.571,,,
2022-01-17,FFF,3.784,3,47,3
2022-01-18,Daraland,0.667,,40,
2022-01-21,Uninal,1.833,1,50,
2022-01-24,FFF,2.455,2,27,19
2022-01-25,Daraland,0.750,,45,
2022-01-29,Pon,1.400,1,24,
2022-01-29,Akina,2.984,,,
2022-01-31,FFF,2.839,2,50,20
2022-02-01,Daraland,0.683,,41,
2022-02-01,Meat,2.000,2,,
2022-02-02,Akina,2.141,,,
2022-02-04,Uninal,1.633,1,38,
2022-02-05,FFF,2.304,2,18,13
2022-02-05,Akina,1.492,,,
2022-02-07,FFF,1.967,1,58,1
2022-02-08,Daraland,0.650,,39,
2022-02-09,Akina,2.964,,,
2022-02-14,FFF,2.549,2,32,58
2022-02-15,Daraland,0.783,,47,
2022-02-16,Akina,3.389,,,
2022-02-18,Akina,2.436,,,
2022-02-21,FFF,2.885,2,53,7
2022-02-21,Uninal,1.850,1,51,
2022-02-21,Akina,2.615,,,
2022-02-22,Daraland,0.667,,40,
2022-02-22,Snack,1.933,1,56,
2022-02-24,Pon,1.433,1,26,
2022-02-24,Akina,1.748,,,
2022-03-01,Daraland,0.883,,53,
2022-03-04,Akina,3.116,,,
2022-03-07,FFF,3.079,3,4,45
2022-03-08,Daraland,0.683,,41,
2022-03-08,Meat,1.217,1,13,
2022-03-10,Uninal,1.500,1,30,
2022-03-11,Akina,3.099,,,
2022-03-14,FFF,2.973,2,58,22
2022-03-15,Daraland,0.900,,54,
2022-03-15,Akina,1.544,,,
2022-03-17,Pon,1.283,1,17,
2022-03-19,Snack,4.450,4,27,
2022-03-19,Akina,3.527,,,
2022-03-21,FFF,1.008,,59,88
2022-03-22,Daraland,0.700,,42,
2022-03-25,Snack,1.733,1,44,
2022-03-25,Uninal,1.883,1,53,
2022-03-27,Akina,3.301,,,
2022-03-28,FFF,11.821,10,108,77
2022-03-29,Daraland,0.750,,45,
